iter	Passed	Remaining
0	4	426
1	7	389
2	11	376
3	17	418
4	21	399
5	24	383
6	29	387
7	34	395
8	38	386
9	42	385
10	47	384
11	51	376
12	56	379
13	62	381
14	65	372
15	69	363
16	75	370
17	79	362
18	83	355
19	88	354
20	92	349
21	96	343
22	100	337
23	105	334
24	109	328
25	113	322
26	118	320
27	122	314
28	126	309
29	129	303
30	136	302
31	139	296
32	143	290
33	149	289
34	153	284
35	157	279
36	160	274
37	166	271
38	170	265
39	173	260
40	178	256
41	180	248
42	184	244
43	187	238
44	191	233
45	196	230
46	200	225
47	204	221
48	211	219
49	214	214
50	218	210
51	225	208
52	229	203
53	233	198
54	235	192
55	241	189
56	245	185
57	249	180
58	256	178
59	260	173
60	264	168
61	270	166
62	274	161
63	280	157
64	286	154
65	289	149
66	293	144
67	300	141
68	303	136
69	307	131
70	311	127
71	318	124
72	322	119
73	326	114
74	335	111
75	339	107
76	344	102
77	349	98
78	352	93
79	356	89
80	360	84
81	364	80
82	368	75
83	371	70
84	376	66
85	380	61
86	384	57
87	388	53
88	392	48
89	400	44
90	403	39
91	407	35
92	415	31
93	419	26
94	423	22
95	429	17
96	433	13
97	437	8
98	442	4
99	448	0
